LoanID,Age,Gender,Marital_Status,Employment_Status,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Existing_Loans_Count,Loan_Approval_Status
1,59.0,Female,Divorced,Self-Employed,91908.0,101185.0,72,321.0,0,0
2,49.0,Male,Widowed,Self-Employed,144506.0,107756.0,36,359.0,0,0
3,35.0,Male,Widowed,Employed,42369.0,121351.0,12,685.0,2,0
4,63.0,Male,Married,Unemployed,224170.0,234167.0,48,355.0,1,0
5,28.0,Male,Single,Self-Employed,195616.0,261927.0,24,467.0,2,1
6,41.0,Male,Widowed,Self-Employed,25900.0,246674.0,72,711.0,0,0
7,59.0,Female,Divorced,Unemployed,60733.0,213976.0,60,490.0,4,0
8,39.0,Male,Widowed,Unemployed,107236.0,340108.0,36,781.0,0,0
9,43.0,Male,Widowed,Self-Employed,151661.0,187277.0,60,715.0,2,1
10,31.0,Male,Divorced,Self-Employed,80044.0,414033.0,36,639.0,2,0
11,31.0,Male,Single,Unemployed,216383.0,7420.0,72,558.0,3,0
12,44.0,Female,Widowed,Self-Employed,208998.0,351592.0,12,649.0,4,0
13,56.0,Female,Widowed,Self-Employed,221671.0,468069.0,12,736.0,2,0
14,60.0,Female,Widowed,Employed,105553.0,94897.0,24,521.0,1,0
15,44.0,Female,Married,Unemployed,234982.0,32728.0,24,712.0,0,1
16,23.0,Female,Widowed,Employed,108435.0,129826.0,36,649.0,1,0
17,42.0,Male,Divorced,Employed,69008.0,62858.0,36,781.0,2,0
18,22.0,Female,Single,Unemployed,86794.0,373860.0,36,358.0,2,1
19,44.0,Female,Single,Employed,99134.0,185161.0,36,451.0,1,0
20,64.0,Female,Divorced,Self-Employed,153938.0,232676.0,72,839.0,1,0
21,50.0,Male,Married,Employed,72890.0,266680.0,72,524.0,3,1
22,58.0,Male,Divorced,Unemployed,135259.0,496747.0,12,617.0,0,1
23,22.0,Female,Single,Self-Employed,192576.0,220329.0,24,578.0,1,0
24,,Male,Divorced,Self-Employed,,,24,,0,0
25,53.0,Male,Married,Self-Employed,204446.0,233137.0,48,323.0,4,1
26,32.0,Female,Single,Self-Employed,49404.0,344136.0,24,818.0,2,0
27,42.0,Male,Married,Employed,85223.0,366403.0,24,667.0,1,0
28,64.0,Male,Divorced,Employed,20637.0,383329.0,60,634.0,4,0
29,45.0,Male,Widowed,Self-Employed,241224.0,440456.0,60,732.0,2,0
30,69.0,Female,Divorced,Unemployed,123186.0,367426.0,48,302.0,3,1
31,47.0,Female,Married,Self-Employed,35828.0,219521.0,36,557.0,2,1
32,,Female,Divorced,Employed,,,48,,1,0
33,48.0,Male,Widowed,Self-Employed,242804.0,253422.0,48,420.0,4,1
34,36.0,Female,Married,Employed,121976.0,102677.0,12,320.0,4,0
35,35.0,Male,Divorced,Self-Employed,65097.0,490741.0,72,439.0,4,1
36,67.0,Male,Married,Unemployed,133271.0,65049.0,24,776.0,2,0
37,64.0,Male,Married,Self-Employed,52022.0,479880.0,12,588.0,0,0
38,,Female,Single,Unemployed,,,72,,0,0
39,57.0,Female,Single,Unemployed,48704.0,45213.0,24,342.0,2,0
40,27.0,Female,Married,Self-Employed,111411.0,426327.0,48,417.0,1,0
41,41.0,Female,Divorced,Unemployed,149688.0,271428.0,24,304.0,2,0
42,29.0,Male,Divorced,Unemployed,43641.0,489245.0,36,506.0,0,1
43,59.0,Female,Divorced,Employed,57479.0,284729.0,36,644.0,2,1
44,38.0,Male,Widowed,Employed,229843.0,463255.0,48,441.0,4,0
45,24.0,Female,Married,Unemployed,42027.0,362275.0,60,671.0,1,1
46,45.0,Female,Married,Self-Employed,249535.0,274275.0,36,531.0,1,1
47,34.0,Female,Widowed,Unemployed,62912.0,48382.0,48,463.0,3,1
48,29.0,Male,Married,Self-Employed,128227.0,489949.0,12,846.0,2,0
49,46.0,Male,Married,Employed,243630.0,431743.0,60,663.0,4,1
50,22.0,Male,Widowed,Self-Employed,222546.0,223565.0,36,634.0,2,0
51,,Male,Single,Unemployed,,,48,,3,0
52,48.0,Male,Married,Unemployed,129658.0,92081.0,48,707.0,3,0
53,67.0,Female,Widowed,Unemployed,62692.0,58441.0,12,374.0,2,0
54,27.0,Male,Divorced,Unemployed,118884.0,452814.0,12,599.0,2,1
55,64.0,Male,Single,Unemployed,52209.0,84220.0,60,680.0,2,1
56,28.0,Male,Divorced,Self-Employed,208635.0,244056.0,72,327.0,0,1
57,67.0,Male,Married,Unemployed,76738.0,156714.0,36,762.0,3,1
58,55.0,Female,Single,Employed,57242.0,205979.0,48,695.0,1,0
59,34.0,Male,Widowed,Unemployed,161013.0,17651.0,60,675.0,0,1
60,37.0,Female,Married,Self-Employed,158145.0,137737.0,60,720.0,4,0
61,56.0,Female,Widowed,Unemployed,127966.0,274062.0,12,663.0,1,0
62,60.0,Female,Single,Unemployed,188899.0,290151.0,48,515.0,1,1
63,24.0,Male,Divorced,Self-Employed,197297.0,233016.0,24,400.0,1,0
64,22.0,Female,Married,Unemployed,188168.0,211802.0,72,392.0,3,1
65,26.0,Male,Married,Self-Employed,201618.0,292179.0,72,565.0,4,0
66,62.0,Male,Widowed,Unemployed,86457.0,356496.0,12,505.0,0,1
67,24.0,Male,Single,Employed,149257.0,486818.0,48,379.0,4,0
68,49.0,Male,Widowed,Unemployed,88309.0,81749.0,60,336.0,0,0
69,38.0,Male,Single,Self-Employed,221070.0,381193.0,72,310.0,3,0
70,46.0,Female,Married,Employed,106496.0,355292.0,60,389.0,4,0
71,64.0,Female,Single,Self-Employed,181340.0,27211.0,36,318.0,1,0
72,54.0,Male,Married,Unemployed,236426.0,452803.0,24,673.0,4,0
73,30.0,Female,Single,Employed,130078.0,31866.0,12,393.0,3,1
74,56.0,Male,Divorced,Self-Employed,193150.0,242012.0,72,331.0,3,0
75,34.0,Female,Single,Employed,21865.0,495351.0,36,439.0,3,0
76,51.0,Female,Divorced,Employed,116242.0,12344.0,36,320.0,0,0
77,68.0,Female,Single,Self-Employed,48887.0,335881.0,24,448.0,4,1
78,35.0,Female,Single,Employed,200948.0,337432.0,12,520.0,1,1
79,28.0,Female,Widowed,Self-Employed,116047.0,329690.0,12,518.0,1,0
80,,Male,Widowed,Employed,,,60,,2,0
81,,Male,Married,Employed,,,12,,3,0
82,60.0,Female,Widowed,Employed,60478.0,446875.0,36,724.0,1,0
83,41.0,Male,Single,Unemployed,177473.0,444013.0,60,574.0,3,0
84,36.0,Female,Widowed,Unemployed,179574.0,469843.0,12,439.0,1,0
85,,Male,Single,Self-Employed,,,24,,4,0
86,38.0,Female,Divorced,Employed,33394.0,426501.0,36,677.0,2,0
87,67.0,Female,Single,Self-Employed,249766.0,355678.0,48,672.0,3,0
88,44.0,Female,Married,Unemployed,160334.0,383353.0,24,362.0,0,0
89,46.0,Male,Divorced,Unemployed,24487.0,446850.0,24,641.0,0,1
90,45.0,Male,Married,Unemployed,178413.0,176361.0,12,466.0,1,1
91,65.0,Female,Married,Unemployed,128924.0,486695.0,60,450.0,4,1
92,61.0,Female,Married,Self-Employed,164642.0,285151.0,60,822.0,3,0
93,49.0,Male,Widowed,Employed,77268.0,292401.0,36,800.0,2,0
94,,Male,Married,Self-Employed,,,12,,4,0
95,65.0,Male,Divorced,Employed,91602.0,34784.0,60,571.0,1,0
96,21.0,Male,Single,Unemployed,177795.0,174660.0,72,729.0,4,0
97,45.0,Male,Married,Employed,220180.0,49221.0,48,532.0,2,1
98,27.0,Female,Divorced,Unemployed,98206.0,288522.0,72,507.0,4,1
99,29.0,Male,Married,Self-Employed,211170.0,9696.0,12,752.0,3,1
100,44.0,Female,Single,Employed,113375.0,360675.0,12,800.0,1,1
101,21.0,Female,Divorced,Self-Employed,199779.0,39635.0,60,518.0,2,0
102,,Male,Divorced,Unemployed,,,24,,1,1
103,28.0,Male,Single,Self-Employed,113937.0,325687.0,12,848.0,3,1
104,44.0,Female,Divorced,Unemployed,76921.0,217331.0,24,840.0,2,0
105,31.0,Male,Single,Unemployed,80760.0,155279.0,36,550.0,2,0
106,37.0,Female,Divorced,Unemployed,161321.0,425740.0,36,714.0,1,0
107,28.0,Male,Divorced,Self-Employed,87847.0,426770.0,60,385.0,4,0
108,55.0,Male,Single,Self-Employed,117547.0,16817.0,36,516.0,4,0
109,55.0,Male,Single,Employed,63839.0,322402.0,72,495.0,0,1
110,53.0,Female,Divorced,Employed,59673.0,198654.0,72,596.0,0,0
111,25.0,Male,Divorced,Self-Employed,23642.0,136240.0,72,343.0,2,1
112,62.0,Female,Single,Self-Employed,157410.0,127475.0,60,692.0,1,0
113,59.0,Male,Widowed,Self-Employed,71761.0,441197.0,60,742.0,2,0
114,61.0,Female,Single,Self-Employed,29622.0,228378.0,72,389.0,1,0
115,48.0,Male,Divorced,Unemployed,68423.0,70199.0,24,454.0,3,1
116,27.0,Female,Divorced,Unemployed,62873.0,332092.0,72,777.0,0,0
117,29.0,Female,Divorced,Unemployed,67565.0,62782.0,24,358.0,2,1
118,28.0,Female,Single,Self-Employed,158878.0,85759.0,36,409.0,3,1
119,32.0,Female,Divorced,Unemployed,20757.0,66599.0,24,778.0,4,1
120,54.0,Female,Widowed,Unemployed,243318.0,209635.0,12,348.0,0,1
121,53.0,Female,Married,Employed,172542.0,21291.0,48,676.0,1,1
122,68.0,Male,Widowed,Employed,26220.0,376089.0,12,331.0,4,0
123,43.0,Female,Single,Unemployed,128408.0,452049.0,12,785.0,4,1
124,44.0,Female,Divorced,Unemployed,111851.0,227047.0,60,830.0,3,0
125,57.0,Female,Single,Unemployed,205826.0,92057.0,48,302.0,2,0
126,55.0,Male,Married,Self-Employed,113329.0,357395.0,60,677.0,2,0
127,64.0,Male,Single,Employed,147636.0,354298.0,24,541.0,3,0
128,60.0,Male,Divorced,Employed,230924.0,99535.0,72,840.0,4,0
129,42.0,Female,Married,Employed,173577.0,431208.0,24,656.0,0,0
130,47.0,Male,Married,Unemployed,48288.0,437566.0,48,496.0,4,1
131,55.0,Male,Divorced,Self-Employed,94492.0,268717.0,36,718.0,3,0
132,21.0,Female,Divorced,Employed,39109.0,264789.0,24,572.0,4,0
133,55.0,Female,Divorced,Employed,154569.0,13577.0,12,801.0,4,1
134,57.0,Male,Single,Self-Employed,77326.0,406928.0,48,334.0,4,0
135,67.0,Female,Widowed,Unemployed,29864.0,34948.0,48,760.0,4,0
136,34.0,Female,Single,Unemployed,248118.0,241139.0,24,552.0,0,1
137,23.0,Female,Single,Employed,244589.0,82700.0,24,811.0,1,0
138,21.0,Female,Widowed,Employed,107562.0,272361.0,60,347.0,1,0
139,25.0,Male,Divorced,Self-Employed,94310.0,327322.0,60,484.0,2,1
140,46.0,Female,Divorced,Employed,139454.0,352206.0,12,790.0,1,0
141,34.0,Male,Widowed,Self-Employed,41017.0,363950.0,48,572.0,1,0
142,59.0,Male,Widowed,Employed,152893.0,162481.0,36,826.0,1,1
143,47.0,Male,Single,Employed,70337.0,185112.0,36,427.0,4,0
144,29.0,Male,Married,Employed,196557.0,476486.0,48,509.0,4,0
145,35.0,Female,Widowed,Unemployed,103557.0,343971.0,12,441.0,0,0
146,35.0,Female,Single,Self-Employed,207460.0,477282.0,60,472.0,4,1
147,46.0,Female,Married,Self-Employed,30372.0,214002.0,60,746.0,4,1
148,62.0,Male,Divorced,Unemployed,120050.0,334179.0,60,418.0,1,1
149,33.0,Male,Divorced,Unemployed,113938.0,98075.0,36,310.0,0,0
150,52.0,Male,Single,Unemployed,91333.0,407885.0,36,603.0,0,1
151,59.0,Female,Single,Self-Employed,36283.0,194319.0,12,453.0,1,1
152,69.0,Male,Widowed,Employed,60857.0,195047.0,36,622.0,1,0
153,52.0,Female,Divorced,Unemployed,71772.0,426778.0,24,836.0,0,1
154,24.0,Female,Single,Unemployed,210742.0,26629.0,36,744.0,3,1
155,50.0,Female,Divorced,Unemployed,224205.0,358426.0,60,641.0,1,0
156,57.0,Female,Divorced,Employed,115856.0,197535.0,12,520.0,1,1
157,,Male,Widowed,Employed,,,48,,0,1
158,,Female,Married,Unemployed,,,48,,3,0
159,65.0,Male,Widowed,Employed,26107.0,7039.0,12,717.0,3,1
160,35.0,Female,Single,Unemployed,242368.0,111615.0,24,804.0,2,1
161,63.0,Male,Widowed,Employed,55561.0,8857.0,48,339.0,3,1
162,49.0,Male,Widowed,Self-Employed,227746.0,195091.0,60,808.0,1,0
163,56.0,Female,Divorced,Self-Employed,186340.0,96432.0,48,758.0,4,0
164,33.0,Female,Widowed,Employed,182680.0,468702.0,48,562.0,0,0
165,52.0,Female,Single,Self-Employed,33138.0,225079.0,60,417.0,1,1
166,27.0,Male,Married,Self-Employed,188765.0,85977.0,36,749.0,0,0
167,42.0,Female,Widowed,Self-Employed,234072.0,279879.0,24,713.0,3,0
168,,Female,Widowed,Unemployed,,,60,,0,0
169,22.0,Male,Married,Employed,172320.0,170583.0,60,760.0,1,0
170,62.0,Female,Single,Employed,38632.0,51051.0,72,417.0,4,1
171,65.0,Male,Single,Employed,67547.0,391966.0,12,516.0,1,1
172,26.0,Female,Widowed,Self-Employed,32100.0,57693.0,24,376.0,2,0
173,48.0,Male,Divorced,Unemployed,67930.0,112942.0,36,720.0,0,0
174,48.0,Male,Widowed,Employed,217933.0,336296.0,72,471.0,1,0
175,64.0,Female,Married,Self-Employed,227977.0,348063.0,60,689.0,3,0
176,64.0,Male,Married,Unemployed,73025.0,296900.0,72,325.0,3,1
177,40.0,Female,Married,Unemployed,226948.0,139966.0,36,427.0,1,0
178,,Female,Widowed,Employed,,,72,,2,0
179,31.0,Male,Widowed,Employed,201912.0,371675.0,72,323.0,0,1
180,48.0,Female,Single,Self-Employed,170441.0,179304.0,72,769.0,2,1
181,45.0,Male,Divorced,Employed,169532.0,58214.0,60,722.0,4,1
182,59.0,Male,Widowed,Self-Employed,111641.0,74817.0,60,476.0,1,1
183,53.0,Male,Single,Unemployed,116920.0,68862.0,12,837.0,2,1
184,21.0,Male,Widowed,Unemployed,152533.0,226255.0,48,565.0,4,1
185,47.0,Male,Single,Unemployed,62362.0,263121.0,24,569.0,2,1
186,33.0,Male,Single,Unemployed,249448.0,264968.0,12,628.0,4,1
187,61.0,Male,Divorced,Employed,48610.0,428252.0,36,754.0,3,1
188,23.0,Male,Widowed,Employed,124334.0,416800.0,72,594.0,3,0
189,59.0,Female,Single,Self-Employed,172067.0,498663.0,60,421.0,1,0
190,26.0,Female,Married,Self-Employed,235788.0,168380.0,72,458.0,2,0
191,28.0,Male,Married,Self-Employed,27717.0,380228.0,60,477.0,3,1
192,47.0,Female,Married,Self-Employed,229939.0,295477.0,24,627.0,0,1
193,29.0,Female,Divorced,Self-Employed,230544.0,434165.0,12,606.0,3,1
194,57.0,Female,Single,Unemployed,84022.0,391505.0,12,388.0,3,0
195,53.0,Female,Divorced,Unemployed,204740.0,483011.0,36,337.0,2,0
196,62.0,Female,Widowed,Unemployed,71645.0,102330.0,12,645.0,4,1
197,64.0,Female,Widowed,Self-Employed,49550.0,44288.0,12,551.0,0,0
198,44.0,Male,Single,Unemployed,237223.0,345732.0,48,448.0,0,0
199,35.0,Female,Married,Unemployed,154648.0,213879.0,24,315.0,4,1
200,,Female,Single,Unemployed,,,72,,2,0
201,52.0,Female,Single,Unemployed,118039.0,181339.0,12,417.0,3,0
202,44.0,Female,Single,Employed,197452.0,299319.0,36,616.0,4,0
203,61.0,Male,Divorced,Self-Employed,156800.0,13915.0,72,587.0,0,0
204,69.0,Male,Widowed,Self-Employed,52800.0,348802.0,60,650.0,0,0
205,69.0,Male,Single,Employed,30886.0,376879.0,12,596.0,3,0
206,32.0,Male,Single,Unemployed,230686.0,339598.0,12,493.0,3,0
207,59.0,Female,Single,Unemployed,220981.0,457938.0,72,691.0,1,0
208,22.0,Male,Divorced,Unemployed,198308.0,363117.0,60,742.0,4,1
209,23.0,Male,Divorced,Self-Employed,65805.0,378486.0,48,580.0,3,0
210,69.0,Male,Divorced,Self-Employed,52532.0,201370.0,24,600.0,1,0
211,57.0,Male,Single,Self-Employed,132765.0,18805.0,48,725.0,2,0
212,69.0,Female,Married,Self-Employed,48688.0,221206.0,36,549.0,0,0
213,37.0,Male,Married,Self-Employed,162135.0,438733.0,72,814.0,4,0
214,69.0,Female,Married,Employed,43089.0,59716.0,12,705.0,2,0
215,22.0,Male,Widowed,Self-Employed,207014.0,138943.0,48,543.0,4,1
216,22.0,Female,Single,Unemployed,202901.0,369937.0,24,666.0,4,1
217,48.0,Female,Married,Self-Employed,201625.0,304519.0,36,419.0,3,0
218,43.0,Male,Married,Employed,53585.0,181813.0,48,739.0,1,0
219,57.0,Male,Married,Unemployed,222811.0,377559.0,12,803.0,4,0
220,52.0,Male,Single,Employed,210076.0,159220.0,24,732.0,2,0
221,53.0,Male,Married,Unemployed,22438.0,10834.0,12,482.0,4,1
222,,Female,Married,Self-Employed,,,12,,1,0
223,39.0,Female,Single,Employed,174284.0,133802.0,36,417.0,0,1
224,22.0,Male,Widowed,Unemployed,201434.0,8399.0,24,330.0,4,1
225,64.0,Male,Divorced,Self-Employed,223249.0,462307.0,60,448.0,2,0
226,46.0,Female,Married,Unemployed,168055.0,157834.0,12,827.0,0,0
227,52.0,Male,Divorced,Employed,34026.0,449225.0,24,572.0,0,0
228,26.0,Female,Widowed,Employed,140168.0,373052.0,12,684.0,3,0
229,,Male,Widowed,Employed,,,48,,3,1
230,24.0,Female,Married,Employed,206816.0,373179.0,48,371.0,4,0
231,31.0,Female,Single,Self-Employed,77013.0,449764.0,24,707.0,2,0
232,37.0,Female,Widowed,Unemployed,71039.0,164412.0,36,646.0,3,1
233,58.0,Female,Divorced,Self-Employed,200903.0,459581.0,60,666.0,1,0
234,,Female,Divorced,Employed,,,48,,1,0
235,25.0,Male,Divorced,Unemployed,185675.0,359818.0,36,590.0,0,0
236,54.0,Female,Divorced,Employed,228830.0,86344.0,60,721.0,0,1
237,26.0,Male,Widowed,Self-Employed,218785.0,195862.0,48,480.0,0,0
238,42.0,Female,Married,Self-Employed,126446.0,360923.0,60,413.0,1,1
239,31.0,Female,Married,Self-Employed,118452.0,466013.0,72,537.0,3,0
240,,Male,Divorced,Unemployed,,,12,,3,0
241,36.0,Male,Married,Unemployed,87182.0,153768.0,24,559.0,4,0
242,53.0,Male,Divorced,Employed,72147.0,244432.0,48,406.0,2,1
243,29.0,Male,Divorced,Unemployed,95400.0,135306.0,48,543.0,1,0
244,26.0,Female,Single,Unemployed,66434.0,187529.0,12,722.0,0,0
245,36.0,Male,Widowed,Self-Employed,46515.0,420107.0,48,634.0,2,1
246,49.0,Female,Widowed,Employed,240370.0,64151.0,48,322.0,0,1
247,23.0,Male,Divorced,Self-Employed,78001.0,89661.0,72,570.0,2,1
248,40.0,Male,Widowed,Employed,209469.0,199080.0,48,439.0,2,0
249,56.0,Female,Married,Employed,212487.0,188560.0,48,765.0,3,0
250,39.0,Female,Divorced,Unemployed,168032.0,61632.0,48,753.0,4,0
251,46.0,Male,Single,Self-Employed,129591.0,386991.0,36,683.0,4,1
252,23.0,Female,Married,Unemployed,244215.0,71533.0,48,676.0,0,0
253,39.0,Female,Single,Unemployed,232910.0,380603.0,12,737.0,1,0
254,40.0,Female,Single,Unemployed,65778.0,230667.0,72,721.0,4,0
255,,Female,Widowed,Employed,,,48,,1,0
256,27.0,Female,Widowed,Self-Employed,247929.0,106511.0,60,634.0,0,1
257,61.0,Female,Divorced,Self-Employed,115849.0,62942.0,72,830.0,1,1
258,53.0,Female,Widowed,Unemployed,123083.0,14275.0,72,431.0,2,1
259,60.0,Female,Single,Employed,192027.0,287109.0,60,800.0,2,0
260,59.0,Male,Single,Self-Employed,229637.0,308865.0,12,821.0,0,1
261,38.0,Female,Married,Self-Employed,121276.0,119178.0,36,439.0,1,0
262,60.0,Male,Single,Unemployed,76908.0,171926.0,12,434.0,1,0
263,21.0,Female,Divorced,Employed,215139.0,414189.0,36,706.0,0,0
264,,Female,Divorced,Unemployed,,,24,,4,0
265,48.0,Female,Widowed,Self-Employed,169501.0,294022.0,60,540.0,3,0
266,45.0,Female,Widowed,Employed,114048.0,392808.0,72,464.0,4,0
